true_year,avg_hrs_100Male,avg_hrs_90Male,avg_hrs_80Male,avg_hrs_70Male,avg_hrs_60Male,avg_hrs_50Male,avg_hrs_40Male,avg_hrs_30Male,avg_hrs_20Male,avg_hrs_10Male,avg_wage_100Male,avg_wage_90Male,avg_wage_80Male,avg_wage_70Male,avg_wage_60Male,avg_wage_50Male,avg_wage_40Male,avg_wage_30Male,avg_wage_20Male,avg_wage_10Male,avg_hrs_100Female,avg_hrs_90Female,avg_hrs_80Female,avg_hrs_70Female,avg_hrs_60Female,avg_hrs_50Female,avg_hrs_40Female,avg_hrs_30Female,avg_hrs_20Female,avg_hrs_10Female,avg_wage_100Female,avg_wage_90Female,avg_wage_80Female,avg_wage_70Female,avg_wage_60Female,avg_wage_50Female,avg_wage_40Female,avg_wage_30Female,avg_wage_20Female,avg_wage_10Female,avg_wage_90,avg_wage_80,avg_wage_70,avg_wage_60,avg_wage_50,avg_wage_40,avg_wage_30,avg_wage_20,avg_wage_10,avg_wage_100,avg_hrs_100,avg_hrs_90,avg_hrs_80,avg_hrs_70,avg_hrs_60,avg_hrs_50,avg_hrs_40,avg_hrs_30,avg_hrs_20,avg_hrs_10
1994,7.641466,7.672786,7.68658,7.710598,7.738024,7.72594,7.733311,7.727687,7.710962,7.704342,4.11079,3.405587,3.16889,2.995196,2.828524,2.673046,2.504528,2.312865,2.061877,1.636015,7.393208,7.548115,7.561958,7.572929,7.582034,7.569054,7.563422,7.533286,7.506557,7.514246,3.706731,3.119896,2.896234,2.711903,2.57236,2.416641,2.258989,2.0785,1.864431,1.477032,3.289069,3.061154,2.875963,2.707847,2.559501,2.383526,2.195686,1.958308,1.541119,3.965309,7.574681,7.625489,7.651163,7.666229,7.663757,7.658668,7.650361,7.638772,7.606893,7.593354
1995,7.627221,7.683474,7.709876,7.707236,7.733779,7.731935,7.734829,7.731329,7.715699,7.708632,4.126029,3.395256,3.160344,3.003886,2.831077,2.667979,2.49917,2.312541,2.070978,1.63487,7.395364,7.554662,7.579673,7.571314,7.598711,7.588145,7.583926,7.576988,7.52075,7.502273,3.718004,3.12083,2.897224,2.722265,2.558064,2.40756,2.247262,2.082612,1.86481,1.445927,3.28636,3.054445,2.867002,2.716461,2.545901,2.37979,2.189817,1.977122,1.533773,3.981299,7.553515,7.64837,7.657389,7.665123,7.667797,7.663096,7.66812,7.648304,7.624416,7.588082
1996,7.639875,7.686007,7.712629,7.721511,7.713697,7.732609,7.734197,7.737796,7.71941,7.720506,4.095089,3.389432,3.139613,2.988074,2.834884,2.674372,2.505739,2.317425,2.068858,1.642863,7.412738,7.566834,7.574179,7.58933,7.602747,7.584726,7.576109,7.546453,7.524176,7.503043,3.739798,3.117669,2.89685,2.722438,2.571638,2.417673,2.28805,2.093602,1.880092,1.47725,3.279857,3.050098,2.872077,2.709872,2.551731,2.385015,2.204956,1.969808,1.555301,3.974652,7.575257,7.646369,7.666233,7.668827,7.677262,7.669024,7.659024,7.650076,7.614825,7.603777
1997,7.630908,7.684409,7.709487,7.718647,7.736269,7.728225,7.734566,7.734694,7.742588,7.723277,4.169378,3.426022,3.187842,3.002233,2.849698,2.694159,2.545026,2.357736,2.115703,1.683227,7.410802,7.553254,7.586347,7.589822,7.586766,7.589693,7.567024,7.553066,7.533401,7.506463,3.760948,3.139676,2.929005,2.742538,2.588541,2.448391,2.302605,2.137988,1.910825,1.544938,3.309673,3.071851,2.886512,2.733726,2.5772,2.409212,2.253202,2.006926,1.608591,4.020412,7.568244,7.644248,7.665622,7.673447,7.664743,7.662312,7.664734,7.646619,7.624745,7.60668
1998,7.637609,7.689658,7.704085,7.721118,7.7458,7.733643,7.743448,7.73945,7.746056,7.730799,4.14551,3.447887,3.213099,3.034813,2.866299,2.724282,2.563732,2.383951,2.151951,1.708167,7.407375,7.555504,7.576863,7.601723,7.597239,7.594869,7.569174,7.560922,7.54356,7.540852,3.77651,3.18099,2.948961,2.776442,2.613291,2.478828,2.31123,2.127607,1.925607,1.544379,3.344473,3.09363,2.934001,2.759911,2.606269,2.444096,2.26121,2.029994,1.617425,4.009426,7.566835,7.643352,7.660739,7.667244,7.685343,7.672877,7.667674,7.656011,7.632277,7.622052
1999,7.656589,7.696764,7.717302,7.728364,7.731514,7.737635,7.745867,7.747949,7.741446,7.738323,4.231936,3.47264,3.232343,3.048144,2.889359,2.738976,2.580099,2.390946,2.17372,1.722135,7.439108,7.550523,7.58032,7.597685,7.590544,7.588933,7.611794,7.571313,7.552077,7.537831,3.811896,3.188052,2.959131,2.774858,2.636593,2.488112,2.324692,2.150875,1.924564,1.566412,3.345255,3.1195,2.930175,2.776491,2.629649,2.45519,2.271889,2.036473,1.629706,4.075947,7.593353,7.646536,7.664174,7.67292,7.670499,7.670413,7.67317,7.666404,7.642154,7.621661
2000,7.64032,7.681866,7.709847,7.725323,7.727808,7.716131,7.729767,7.725081,7.728675,7.737463,4.267435,3.498871,3.258533,3.067715,2.897972,2.743093,2.585018,2.406494,2.17222,1.723308,7.397279,7.556602,7.585865,7.609781,7.589553,7.606737,7.584092,7.582226,7.551785,7.553209,3.820772,3.220443,2.979999,2.806266,2.649082,2.501361,2.335879,2.186007,1.944284,1.543678,3.386699,3.136028,2.950554,2.787132,2.629575,2.474186,2.290493,2.053994,1.62455,4.104316,7.572213,7.64007,7.663353,7.672125,7.670593,7.67845,7.66898,7.652201,7.639341,7.632747
2001,7.637627,7.672145,7.696611,7.70504,7.720836,7.72095,7.721022,7.723418,7.71583,7.716142,4.275236,3.51507,3.24576,3.07482,2.903689,2.751244,2.581906,2.40648,2.15891,1.714395,7.417052,7.552093,7.585297,7.587564,7.586136,7.593304,7.583435,7.571452,7.544868,7.535959,3.886887,3.234613,2.997869,2.823713,2.670166,2.520345,2.362902,2.193742,1.955323,1.556822,3.392132,3.143015,2.962406,2.788649,2.639721,2.477237,2.294636,2.062184,1.631885,4.1217,7.571657,7.62477,7.651213,7.666101,7.660952,7.663468,7.653986,7.654644,7.630781,7.619917
2002,7.6372,7.684923,7.703327,7.703874,7.724867,7.709625,7.712608,7.717365,7.698656,7.712781,4.330349,3.514149,3.239084,3.068144,2.899785,2.741184,2.574857,2.395265,2.151524,1.723009,7.41188,7.552564,7.571312,7.582794,7.594478,7.590467,7.578725,7.57717,7.545161,7.542159,3.914596,3.23611,2.994044,2.848533,2.679992,2.516769,2.382479,2.200558,1.975526,1.575375,3.393035,3.146903,2.958916,2.79721,2.635704,2.477771,2.306266,2.063184,1.635244,4.173767,7.572917,7.63857,7.64766,7.654738,7.653385,7.661283,7.653412,7.640836,7.623477,7.621019
2003,7.63465,7.689854,7.695017,7.700847,7.71585,7.724307,7.717782,7.712787,7.70066,7.705201,4.272532,3.516314,3.262717,3.071439,2.906987,2.743873,2.582148,2.395556,2.135563,1.707193,7.445579,7.556482,7.588171,7.605358,7.588801,7.581554,7.590807,7.571146,7.541659,7.525006,3.918135,3.240219,3.02362,2.831757,2.677952,2.53743,2.384539,2.196848,1.971067,1.550451,3.416994,3.152496,2.956462,2.82068,2.645039,2.482893,2.2882,2.076864,1.643805,4.137238,7.583193,7.637688,7.65479,7.662615,7.663727,7.658195,7.648913,7.639719,7.628336,7.604094
2004,7.636268,7.685104,7.693212,7.703789,7.713374,7.71537,7.718746,7.722553,7.70754,7.697527,4.262413,3.512992,3.24679,3.05157,2.887554,2.725078,2.565205,2.370205,2.124526,1.675592,7.445697,7.561519,7.580545,7.578351,7.583765,7.594415,7.589433,7.57337,7.534003,7.532473,3.861653,3.243756,3.0074,2.828569,2.675262,2.524224,2.370244,2.190374,1.955552,1.531389,3.404074,3.13763,2.943907,2.800204,2.630245,2.464619,2.268287,2.054519,1.614442,4.088082,7.582704,7.635796,7.655536,7.656609,7.65439,7.654647,7.657804,7.650332,7.623781,7.611111
2005,7.629927,7.677011,7.695073,7.706277,7.702857,7.721266,7.719285,7.715936,7.71296,7.705849,4.282699,3.509254,3.244004,3.034682,2.872725,2.709244,2.543169,2.359532,2.118409,1.679055,7.45226,7.558555,7.585046,7.582557,7.59284,7.587645,7.593538,7.569366,7.546332,7.526639,3.894989,3.249348,3.011931,2.831923,2.678443,2.519461,2.359727,2.183513,1.956186,1.524229,3.399921,3.139122,2.947333,2.773029,2.616795,2.458433,2.279903,2.039575,1.596925,4.13679,7.574226,7.636851,7.645459,7.659178,7.657059,7.656988,7.654055,7.64519,7.622105,7.616613
